image_name,ohem_mIoU,cga_mIoU,ohem_Pd,cga_Pd,ohem_Precision,cga_Precision,ohem_FA_ppm,cga_FA_ppm,ohem_FP_components,cga_FP_components,new_fp_pixels,new_fp_components,removed_fp_pixels,removed_fp_components,lost_target_pixels,boundary_excess_pixels,center_peak_prob,center_peak_hit_rate,scale_acc_on_target,local_peak_false_alarm_count,boundary_prob_mean
000162,0.8444444444444444,0.74,1.0,1.0,0.95,0.8409090909090909,30.517578125,106.8115234375,0,0,5,5,0,0,1,5,0.7353287935256958,1.0,0.9069767594337463,0,0.56670743227005
000633,0.2777777777777778,0.25,1.0,1.0,0.2777777777777778,0.25,595.0927734375,686.6455078125,2,2,9,5,3,3,0,1,0.5403382778167725,1.0,0.40000003576278687,2,0.44912442564964294
000194,0.8620689655172413,0.7777777777777778,1.0,1.0,0.9615384615384616,0.875,30.517578125,106.8115234375,0,0,5,4,0,0,2,5,0.508338451385498,0.5,0.6428571939468384,0,0.6245439052581787
000713,0.8448275862068966,0.7741935483870968,1.0,1.0,0.9245283018867925,0.8571428571428571,61.03515625,122.0703125,0,0,4,4,0,0,1,4,0.4782968759536743,0.5,0.48148149251937866,0,0.6244544982910156
000230,0.7654320987654321,0.7294117647058823,1.0,1.0,0.8857142857142857,0.8378378378378378,122.0703125,183.10546875,0,0,4,4,0,0,1,4,0.42058664560317993,0.5,0.9863013625144958,0,0.5793973803520203
000011,0.2903225806451613,0.2571428571428571,1.0,1.0,0.2903225806451613,0.2571428571428571,335.693359375,396.728515625,1,1,5,4,1,1,0,1,0.8764917254447937,1.0,1.0,2,0.8696216940879822
001176,0.036036036036036036,0.0,1.0,0.0,0.03773584905660377,0.0,1556.396484375,1495.361328125,5,6,3,3,7,6,4,0,0.007424657233059406,0.0,0.0,7,0.2019914984703064
000699,0.6481481481481481,0.5789473684210527,1.0,1.0,0.8536585365853658,0.7857142857142857,91.552734375,137.3291015625,0,0,3,3,0,0,3,3,0.6342450380325317,1.0,0.6666666865348816,0,0.3817059099674225
000862,0.6031746031746031,0.5441176470588235,1.0,1.0,0.6909090909090909,0.6271186440677966,259.3994140625,335.693359375,1,1,5,3,0,0,3,1,0.4469420909881592,0.0,0.97826087474823,1,0.6625083088874817
000226,0.8133333333333334,0.7468354430379747,1.0,1.0,0.9242424242424242,0.8676470588235294,76.2939453125,137.3291015625,0,0,4,3,0,0,2,4,0.4476199150085449,0.0,0.9714285731315613,0,0.5988976359367371
000839,0.673469387755102,0.62,1.0,1.0,0.7857142857142857,0.7560975609756098,137.3291015625,152.587890625,0,0,3,3,2,1,2,3,0.6452869176864624,1.0,1.0,0,0.5936849117279053
000740,0.6986301369863014,0.6933333333333334,1.0,1.0,0.85,0.8253968253968254,137.3291015625,167.8466796875,0,0,3,3,1,1,1,3,0.5907588005065918,1.0,1.0,0,0.610629141330719
000510,0.8028169014084507,0.7916666666666666,1.0,1.0,0.8142857142857143,0.8028169014084507,198.3642578125,213.623046875,2,3,4,3,3,2,0,1,0.7695877552032471,1.0,1.0,3,0.794927179813385
001096,0.8428571428571429,0.8309859154929577,1.0,1.0,0.9076923076923077,0.8939393939393939,91.552734375,106.8115234375,2,1,3,3,2,1,0,3,0.5809875130653381,1.0,1.0,1,0.7252649068832397
000908,0.825,0.788235294117647,1.0,1.0,0.9166666666666666,0.8589743589743589,91.552734375,167.8466796875,1,1,5,3,0,0,0,0,0.670839786529541,1.0,1.0,1,0.6217341423034668
000563,0.8769230769230769,0.8636363636363636,1.0,1.0,0.890625,0.8769230769230769,106.8115234375,122.0703125,1,1,3,3,2,2,0,1,0.9185976386070251,1.0,1.0,1,0.8394840359687805
000906,0.6890756302521008,0.6833333333333333,1.0,1.0,0.7130434782608696,0.7068965517241379,503.5400390625,518.798828125,2,2,3,3,2,2,0,1,0.541632354259491,1.0,1.0,2,0.6779871582984924
000811,0.8,0.7631578947368421,1.0,1.0,0.9655172413793104,0.8787878787878788,15.2587890625,61.03515625,0,0,3,3,0,0,0,3,0.7276284098625183,1.0,1.0,0,0.7471504807472229
001317,0.0,0.0,0.0,0.0,0.0,0.0,1480.1025390625,1403.80859375,6,5,3,3,8,5,0,0,1.842434357968159e-05,0.0,0.0,6,0.019006023183465004
000166,0.6862745098039216,0.660377358490566,1.0,1.0,0.8536585365853658,0.813953488372093,91.552734375,122.0703125,0,0,3,3,1,1,0,3,0.6369286775588989,1.0,0.6666666865348816,0,0.7400513291358948
000656,0.6222222222222222,0.5833333333333334,1.0,1.0,0.7567567567567568,0.7,137.3291015625,183.10546875,0,0,3,3,0,0,0,3,0.634710431098938,1.0,0.9722222089767456,0,0.5640169978141785
