image_name,ohem_mIoU,cga_mIoU,ohem_Pd,cga_Pd,ohem_Precision,cga_Precision,ohem_FA_ppm,cga_FA_ppm,ohem_FP_components,cga_FP_components,new_fp_pixels,new_fp_components,removed_fp_pixels,removed_fp_components,lost_target_pixels,boundary_excess_pixels,center_peak_prob,center_peak_hit_rate,scale_acc_on_target,local_peak_false_alarm_count,boundary_prob_mean
000541,1.0,0.9375,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0.7457639575004578,1.0,1.0,0,0.7394247055053711
000832,0.7727272727272727,0.7727272727272727,1.0,1.0,0.8947368421052632,0.8947368421052632,61.03515625,61.03515625,0,0,0,0,0,0,0,0,0.6634007692337036,0.5,1.0,0,0.6365454196929932
000710,0.7678571428571429,0.75,1.0,1.0,0.9148936170212766,0.9130434782608695,61.03515625,61.03515625,0,0,1,1,1,1,1,1,0.4997985064983368,0.5,0.3076923191547394,0,0.5371289253234863
000316,0.9803921568627451,0.9803921568627451,1.0,1.0,0.9803921568627451,0.9803921568627451,45.7763671875,45.7763671875,0,0,1,1,1,1,0,1,0.658536434173584,1.0,1.0,0,0.7704472541809082
001142,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.6461508274078369,1.0,1.0,0,0.6964432001113892
000409,0.717948717948718,0.7105263157894737,1.0,1.0,0.8,0.8181818181818182,106.8115234375,91.552734375,0,0,0,0,1,1,1,0,0.5635031461715698,0.5,1.0,0,0.5626767873764038
000226,0.8133333333333334,0.7564102564102564,1.0,1.0,0.9242424242424242,0.8805970149253731,76.2939453125,122.0703125,0,0,3,2,0,0,2,3,0.35012102127075195,0.0,0.7714285850524902,0,0.6168302893638611
001133,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.7243894934654236,1.0,0.8888888955116272,0,0.6692549586296082
001255,0.9078947368421053,0.9078947368421053,1.0,1.0,0.9452054794520548,0.9452054794520548,61.03515625,61.03515625,0,0,0,0,0,0,0,0,0.7305284142494202,1.0,1.0,0,0.7268993258476257
000558,0.9827586206896551,0.9661016949152542,1.0,1.0,1.0,0.9827586206896551,0.0,15.2587890625,0,0,1,1,0,0,0,1,0.7627649307250977,1.0,1.0,0,0.8018234968185425
001000,0.9056603773584906,0.8867924528301887,1.0,1.0,0.9795918367346939,0.9791666666666666,15.2587890625,15.2587890625,0,0,0,0,0,0,1,0,0.25599154829978943,0.0,1.0,0,0.5153138041496277
000763,0.7058823529411765,0.8571428571428571,1.0,1.0,0.8,1.0,45.7763671875,0.0,0,0,0,0,3,2,0,0,0.8546018004417419,1.0,1.0,0,0.4291756749153137
000385,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.9571918249130249,1.0,1.0,0,0.6065031886100769
001319,0.9428571428571428,0.9428571428571428,1.0,1.0,0.9705882352941176,0.9705882352941176,15.2587890625,15.2587890625,0,0,0,0,0,0,0,0,0.6330798268318176,1.0,1.0,0,0.7964868545532227
000591,0.9166666666666666,0.9295774647887324,1.0,1.0,0.9850746268656716,1.0,15.2587890625,0.0,0,0,0,0,1,1,0,0,0.8769040703773499,1.0,1.0,0,0.7359750866889954
000484,0.8714285714285714,0.8776978417266187,1.0,1.0,0.9682539682539683,0.976,61.03515625,45.7763671875,0,0,0,0,1,1,0,0,0.6037018299102783,1.0,1.0,0,0.7341185212135315
001236,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.792928159236908,1.0,0.8888888955116272,0,0.7436381578445435
000334,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.9661769270896912,1.0,1.0,0,0.6528469324111938
000915,0.9375,0.9230769230769231,1.0,1.0,0.9523809523809523,0.9375,45.7763671875,61.03515625,0,0,1,1,0,0,0,1,0.39692720770835876,0.0,0.9999999403953552,0,0.716159462928772
000523,0.5915492957746479,0.6164383561643836,1.0,1.0,0.8235294117647058,0.8035714285714286,137.3291015625,167.8466796875,0,0,2,1,0,0,0,2,0.5007658004760742,1.0,1.0,0,0.37795108556747437
000765,0.7647058823529411,0.7647058823529411,1.0,1.0,0.7647058823529411,0.7647058823529411,61.03515625,61.03515625,0,0,0,0,0,0,0,0,0.7223694920539856,1.0,1.0,0,0.8557144403457642
000215,0.8169014084507042,0.8309859154929577,1.0,1.0,0.8923076923076924,0.8939393939393939,106.8115234375,106.8115234375,0,0,0,0,0,0,0,0,0.25541189312934875,0.0,0.421875,0,0.7830153703689575
000045,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.6532367467880249,1.0,1.0,0,0.6759294271469116
001303,0.9047619047619048,0.9344262295081968,1.0,1.0,0.9193548387096774,0.95,76.2939453125,45.7763671875,0,0,0,0,2,2,0,0,0.9377868175506592,1.0,1.0,0,0.7570008039474487
