image_id,target_pixels,target_multiscale_support_ratio,target_scale_var_mean,far_bg_pixels,far_bg_high_conf_pixels,far_bg_high_conf_scale_var_mean,single_scale_high_bg_ratio,easy_bg_scale_var_mean
001137,9,1.0,0.01854286715388298,65367,58,0.167038232088089,0.0008872978720149311,4.0316191274314406e-08
000345,5,0.8,0.23743490874767303,65382,0,0.0,0.0,4.448745787987568e-15
000774,13,1.0,0.21094924211502075,65384,0,0.0,0.0,1.2695462628213583e-13
000593,61,1.0,0.011177831329405308,65137,12,0.15974737703800201,0.0001842270905936718,1.1811408739959006e-08
001002,51,1.0,0.017086921259760857,65136,91,0.18120501935482025,0.0013970768852861705,1.7690565456973673e-08
001024,47,1.0,0.01160120964050293,65124,0,0.0,0.0,2.24576746393377e-15
001285,21,0.8095238095238095,0.11324883997440338,65283,0,0.0,0.0,6.796904076893096e-13
000649,35,0.9714285714285714,0.06494859606027603,65101,0,0.0,0.0,7.98870247731287e-10
000282,58,1.0,0.004477940034121275,65169,0,0.0,0.0,2.0055825888931622e-09
000037,9,1.0,0.19296617805957794,65367,0,0.0,0.0,2.2698032943615316e-15
001150,9,1.0,0.0003986305382568389,65367,4,0.16643233597278595,6.11929566906849e-05,1.4555050498188393e-09
001124,9,1.0,0.004210851155221462,65367,6,0.17318864166736603,9.178943503602736e-05,5.114052292753968e-09
001185,18,1.0,0.1093447282910347,65198,1,0.1030506119132042,1.5337893800423325e-05,4.2141179434906917e-10
000718,56,0.9464285714285714,0.058465626090765,65040,12,0.18634150922298431,0.00018450184501845018,2.6264044272750198e-09
000968,49,0.9795918367346939,0.024667691439390182,65154,2,0.09426218271255493,3.069650366823219e-05,7.817692604383808e-10
001216,9,1.0,0.10181000828742981,65367,0,0.0,0.0,8.500941920883132e-14
000494,127,0.9291338582677166,0.03880173712968826,64723,0,0.0,0.0,1.5578761614065684e-09
001015,68,1.0,0.015162043273448944,65074,25,0.17367519438266754,0.0003841780127239758,3.083068522702348e-10
