dataset,image_id,candidate_pixels,candidate_pixels_selected_k,candidate_target_leakage_pixels,candidate_far_bg_ratio,candidate_high_evidence_mean,candidate_ohem_overlap_fraction,target_dilate_pixels,far_bg_pixels
NUDT-SIRST,001137,655,655,0,1.0,6.467139996857441e-07,0.8848920863309353,289,65247
NUDT-SIRST,000345,655,655,0,1.0,2.077393673971528e-06,0.9848484848484849,209,65327
NUDT-SIRST,000774,655,655,0,1.0,1.5213417100312654e-05,0.9350073855243722,232,65304
NUDT-SIRST,000593,654,654,0,1.0,0.0027074464596807957,0.963963963963964,587,64949
NUDT-SIRST,001002,654,654,0,1.0,4.890086347586475e-05,0.7604306864064603,592,64944
NUDT-SIRST,001024,654,654,0,1.0,1.7361437130603008e-05,0.8141470180305131,612,64924
NUDT-SIRST,001285,655,655,0,1.0,4.960101250617299e-06,0.9436201780415431,401,65135
NUDT-SIRST,000649,655,655,0,1.0,6.219050646905089e-06,0.9236417033773862,707,64829
NUDT-SIRST,000282,654,654,0,1.0,4.0829031604516786e-06,0.694300518134715,487,65049
NUDT-SIRST,000037,655,655,0,1.0,4.522940344031667e-06,0.9669669669669669,289,65247
NUDT-SIRST,001150,655,655,0,1.0,1.54664735418919e-06,0.9523099850968704,289,65247
NUDT-SIRST,001124,655,655,0,1.0,1.3802068679069635e-06,0.9699248120300752,289,65247
NUDT-SIRST,001185,655,655,0,1.0,1.7760271475708578e-06,0.9208211143695014,578,64958
NUDT-SIRST,000718,654,654,0,1.0,2.095353374897968e-05,0.8820143884892087,784,64752
NUDT-SIRST,000968,654,654,0,1.0,3.6367746361065656e-05,0.8929088277858177,566,64970
NUDT-SIRST,001216,655,655,0,1.0,7.930385436338838e-06,0.9465081723625557,289,65247
NUDT-SIRST,000494,654,654,0,1.0,8.932011405704543e-05,0.8293706293706293,1189,64347
NUDT-SIRST,001015,654,654,0,1.0,5.8448231357033364e-06,0.7893296853625171,666,64870
NUDT-SIRST,001186,655,655,0,1.0,1.7169966213259613e-06,0.9040697674418605,578,64958
NUDT-SIRST,000197,654,654,0,1.0,1.184046368507552e-06,0.7844474761255116,643,64893
NUDT-SIRST,000811,655,655,0,1.0,8.48243701057072e-07,0.8194444444444444,649,64887
NUDT-SIRST,000601,654,654,0,1.0,0.00021380765247158706,0.9818181818181818,418,65118
NUDT-SIRST,001040,654,654,0,1.0,7.101202299963916e-06,0.8579545454545454,672,64864
NUDT-SIRST,000735,655,655,0,1.0,1.7354062947561033e-05,0.9581464872944694,395,65141
NUDT-SIRST,001029,654,654,0,1.0,4.7203739086398855e-06,0.8685714285714285,767,64769
NUDT-SIRST,000623,655,655,0,1.0,9.514701559965033e-06,0.9699248120300752,323,65213
NUDT-SIRST,000436,654,654,0,1.0,6.605475846299669e-06,0.9039301310043668,569,64967
