image_id,component_id,component_type,area,bbox_y0,bbox_x0,bbox_y1,bbox_x1,centroid_y,centroid_x,max_prob,mean_prob,sum_prob,prob_contrast,image_contrast,ring_mean_prob,ring_mean_intensity,component_mean_intensity,compactness,aspect_ratio,distance_to_nearest_target,is_target_like_area,is_target_like_area_loose,is_nonflat,is_detached_far_fp,is_boundary_excess,is_detached_near_fp,target_leakage_pixels
001137,1,target_hit_or_overlap,9,31,230,33,232,32.0,231.0,0.9999972581863403,0.9986289143562317,8.98766040802002,0.9999969005584717,3.5838478920552452,3.3989130088230013e-07,-0.2917819023132324,0.6316136121749878,1.0,1.0,0.0,1,1,1,0,0,0,9
000345,1,target_hit_or_overlap,5,249,248,251,250,250.0,249.0,1.0,0.9996873140335083,4.998436450958252,1.0,17.509836266117873,3.7150379994521643e-10,0.0014563108561560512,1.8105989694595337,0.5555555555555556,1.0,0.0,1,1,1,0,0,0,5
000774,1,target_hit_or_overlap,16,2,152,6,155,3.5625,153.625,0.9999864101409912,0.984804630279541,15.756874084472656,0.9999827146530151,5.107290164417133,3.7138663628866198e-06,-1.7513036727905273,-0.3651740849018097,0.8,1.25,0.0,1,1,1,0,0,0,13
000593,1,target_hit_or_overlap,62,84,159,92,172,88.06451612903226,165.24193548387098,1.0,0.9970795512199402,61.818931579589844,1.0,6.314129406968582,9.940453842005592e-12,-0.23205652832984924,2.962688684463501,0.49206349206349204,1.5555555555555556,0.0,1,1,1,0,0,0,61
001002,1,target_hit_or_overlap,54,237,133,240,152,238.77777777777777,143.83333333333334,0.9999219179153442,0.9795597195625305,52.89622497558594,0.9998999834060669,2.463589394880926,2.1960597223369405e-05,-0.12596063315868378,1.367918610572815,0.675,5.0,0.0,1,1,1,0,0,0,50
001024,1,target_hit_or_overlap,44,40,122,44,140,43.04545454545455,130.36363636363637,0.999953031539917,0.980801522731781,43.15526580810547,0.9999504089355469,1.3637326265458645,2.648909230629215e-06,1.9683793783187866,3.1620092391967773,0.4631578947368421,3.8,0.0,1,1,1,0,0,0,43
001285,1,target_hit_or_overlap,22,128,36,133,42,130.22727272727272,38.90909090909091,0.9999988079071045,0.9872161746025085,21.7187557220459,0.9999987483024597,2.2375625376474866,6.721733569747812e-08,1.715512990951538,3.0973150730133057,0.5238095238095238,1.1666666666666667,0.0,1,1,1,0,0,0,19
000649,1,target_hit_or_overlap,24,49,100,54,106,52.208333333333336,102.79166666666667,0.999962329864502,0.9622219204902649,23.093326568603516,0.9999622702598572,7.621927384175422,5.442201356231635e-08,0.7109023332595825,2.7286529541015625,0.5714285714285714,1.1666666666666667,0.0,1,1,1,0,0,0,16
000649,2,target_hit_or_overlap,18,95,117,100,120,97.27777777777777,118.38888888888889,0.999897837638855,0.9591508507728577,17.26471519470215,0.999897837638855,3.153817339468668,7.663137346902715e-10,2.261975049972534,3.6951587200164795,0.75,1.5,0.0,1,1,1,0,0,0,16
000282,1,target_hit_or_overlap,59,245,76,251,90,248.03389830508473,83.22033898305085,0.9999995231628418,0.9804250001907349,57.84507369995117,0.9998152852058411,1.3224752071915533,0.00018424371955916286,3.3195483684539795,4.035362243652344,0.5619047619047619,2.142857142857143,0.0,1,1,1,0,0,0,57
