image_id,component_count,detached_far_fp_components,boundary_excess_components,fp_component_pixels,boundary_excess_pixels,detached_far_fp_pixels,target_pixels,far_background_pixels,ohem_budget_pixels
001137,1,0,0,0,0,0,9,65367,654
000345,1,0,0,0,0,0,5,65382,654
000774,1,0,0,0,0,0,13,65384,654
000593,1,0,0,0,0,0,61,65137,652
001002,1,0,0,0,0,0,51,65136,652
001024,1,0,0,0,0,0,47,65124,652
001285,1,0,0,0,0,0,21,65283,653
000649,2,0,0,0,0,0,35,65101,652
000282,1,0,0,0,0,0,58,65169,652
000037,1,0,0,0,0,0,9,65367,654
001150,1,0,0,0,0,0,9,65367,654
001124,1,0,0,0,0,0,9,65367,654
001185,2,0,0,0,0,0,18,65198,652
000718,2,0,0,0,0,0,56,65040,651
000968,1,0,0,0,0,0,49,65154,652
001216,1,0,0,0,0,0,9,65367,654
000494,2,0,0,0,0,0,127,64723,648
001015,1,0,0,0,0,0,68,65074,651
001186,2,0,0,0,0,0,18,65198,652
000197,2,0,0,0,0,0,56,65119,652
000811,2,0,0,0,0,0,34,65115,652
000601,1,0,0,0,0,0,58,65236,653
001040,1,0,0,0,0,0,66,65072,651
000735,1,0,0,0,0,0,31,65285,653
001029,1,0,0,0,0,0,78,64997,650
000623,1,0,0,0,0,0,15,65341,654
000436,1,0,0,0,0,0,58,65147,652
001242,4,0,0,0,0,0,36,64860,649
000813,2,0,0,0,0,0,36,65184,652
000493,2,0,0,0,0,0,136,64716,648
001053,1,0,0,0,0,0,44,65149,652
000410,2,0,0,0,0,0,24,65142,652
000936,1,0,0,0,0,0,34,65150,652
000473,1,0,0,0,0,0,52,65149,652
000478,2,0,0,0,0,0,139,64709,648
000458,1,0,0,0,0,0,69,65115,652
000709,2,0,0,0,0,0,52,65135,652
001307,1,0,0,0,0,0,20,65285,653
000781,2,0,0,0,0,0,28,65128,652
001023,1,0,0,0,0,0,46,65135,652
001004,1,0,0,0,0,0,75,65049,651
000359,1,0,0,0,0,0,5,65371,654
000287,1,0,0,0,0,0,72,65083,651
000482,1,0,0,0,0,0,80,65073,651
000941,1,0,0,0,0,0,61,65112,652
000067,1,0,0,0,0,0,9,65367,654
000284,1,0,0,0,0,0,80,65073,651
000447,1,0,0,0,0,0,72,65083,651
000894,1,0,0,0,0,0,63,65086,651
000163,2,0,0,0,0,0,44,65092,651
000059,4,0,0,0,0,0,36,64860,649
001222,1,0,0,0,0,0,9,65367,654
000945,1,0,0,0,0,0,39,65167,652
000446,1,0,0,0,0,0,58,65163,652
000193,2,0,0,0,0,0,56,65050,651
000746,2,0,0,0,0,0,68,64958,650
000733,2,0,0,0,0,0,61,65025,651
000621,2,0,0,0,0,0,28,65148,652
001131,4,0,0,0,0,0,36,64860,649
000085,1,0,0,0,0,0,9,65367,654
000064,1,0,0,0,0,0,9,65406,655
000312,1,0,0,0,0,0,69,65115,652
000213,2,0,0,0,0,0,63,65023,651
001297,1,0,0,0,0,0,80,65073,651
001039,1,0,0,0,0,0,38,65144,652
000066,1,0,0,0,0,0,9,65380,654
000002,1,0,0,0,0,0,9,65367,654
000843,2,0,0,0,0,0,40,65106,652
000659,2,0,0,0,0,0,38,65108,652
000298,2,0,0,0,0,0,124,64727,648
000227,1,0,0,0,0,0,70,64976,650
000951,1,0,0,0,0,0,57,65098,651
000299,1,0,0,0,0,0,83,65092,651
000937,1,0,0,0,0,0,60,65099,651
000547,1,0,0,0,0,0,65,65213,653
000948,1,0,0,0,0,0,53,65128,652
000859,2,0,0,0,0,0,46,65066,651
000058,1,0,0,0,0,0,9,65367,654
000422,1,0,0,0,0,0,12,65344,654
001140,1,0,0,0,0,0,9,65367,654
000873,1,0,0,0,0,0,78,65012,651
001249,1,0,0,0,0,0,62,65128,652
000822,2,0,0,0,0,0,38,65108,652
000745,2,0,0,0,0,0,68,64988,650
000609,1,0,0,0,0,0,14,65312,654
000881,1,0,0,0,0,0,108,64992,650
001271,1,0,0,0,0,0,80,65073,651
000851,2,0,0,0,0,0,42,65054,651
000848,2,0,0,0,0,0,42,65084,651
001016,1,0,0,0,0,0,86,64992,650
001100,1,0,0,0,0,0,83,64998,650
000004,1,0,0,0,0,0,9,65367,654
001208,1,0,0,0,0,0,9,65367,654
000099,1,0,0,0,0,0,30,65146,652
000073,1,0,0,0,0,0,9,65367,654
000049,1,0,0,0,0,0,9,65367,654
000158,2,0,0,0,0,0,42,65074,651
001279,1,0,0,0,0,0,35,65229,653
000063,1,0,0,0,0,0,9,65367,654
001181,1,0,0,0,0,0,9,65367,654
000515,5,0,0,0,0,0,131,64731,648
001054,1,0,0,0,0,0,79,65048,651
000844,2,0,0,0,0,0,40,65116,652
001177,3,0,0,0,0,0,27,65029,651
000934,1,0,0,0,0,0,41,65145,652
000663,2,0,0,0,0,0,38,65118,652
000841,2,0,0,0,0,0,40,65106,652
000205,2,0,0,0,0,0,60,65069,651
000911,1,0,0,0,0,0,45,65135,652
000211,2,0,0,0,0,0,62,65024,651
000267,2,0,0,0,0,0,126,64717,648
