image_name,candidate_pixels,target_leakage_pixels,target_protect_pixels,boundary_protect_pixels,ohem_negative_pixels,ohem_overlap_pixels,ohem_overlap_fraction,far_hard_logit_mean,far_hard_prob_mean
001137,325,0,9,72,655,174,0.5353846153846153,-14.228611946105957,1.1396156196497031e-06
000345,326,0,5,72,655,299,0.9171779141104295,-12.89852523803711,3.179820623699925e-06
000774,326,0,13,75,655,326,1.0,-11.92266845703125,2.8732158170896582e-05
000593,323,0,61,182,654,323,1.0,-6.543532371520996,0.0052686952985823154
001002,323,0,51,189,654,323,1.0,-9.63310718536377,8.477024675812572e-05
001024,323,0,47,197,654,323,1.0,-11.21857738494873,3.241995727876201e-05
001285,324,0,21,116,655,324,1.0,-12.314258575439453,8.649893061374314e-06
000649,322,0,35,192,655,322,1.0,-11.961196899414062,1.029428040055791e-05
000282,324,0,58,180,654,324,1.0,-12.30236530303955,6.853765171399573e-06
000037,325,0,9,72,655,325,1.0,-12.027670860290527,7.342362550843973e-06
001150,325,0,9,72,655,325,1.0,-13.460691452026367,2.6354500732850283e-06
001124,325,0,9,72,655,251,0.7723076923076924,-13.296804428100586,1.9973806502093794e-06
001185,323,0,18,144,655,323,1.0,-13.024027824401855,2.389700966887176e-06
000718,322,0,56,216,654,322,1.0,-10.48405933380127,3.2980820833472535e-05
000968,323,0,49,179,654,323,1.0,-9.96005916595459,5.839176083100028e-05
001216,325,0,9,72,655,57,0.1753846153846154,-15.005478858947754,1.588246777828317e-05
000494,319,0,127,374,654,319,1.0,-9.875164985656738,0.00017880792438518256
001015,323,0,68,217,654,323,1.0,-12.164027214050293,6.690795089525636e-06
001186,323,0,18,144,655,290,0.8978328173374613,-13.084297180175781,2.3444517864845693e-06
000197,323,0,56,183,654,287,0.8885448916408669,-13.41946792602539,1.7453158989155781e-06
000811,323,0,34,186,655,323,1.0,-13.702539443969727,1.287606551159115e-06
000601,324,0,58,139,654,324,1.0,-8.283721923828125,0.00036366068525239825
001040,323,0,66,216,654,323,1.0,-11.782779693603516,1.2337082807789557e-05
000735,324,0,31,108,655,324,1.0,-10.804401397705078,2.90529405901907e-05
001029,322,0,78,264,654,322,1.0,-12.083898544311523,7.122338502085768e-06
000623,325,0,15,84,655,325,1.0,-11.329306602478027,1.4888677469571121e-05
000436,323,0,58,180,654,323,1.0,-11.714104652404785,1.0577749890217092e-05
