image_name,target_components,ohem_mIoU,candidate_mIoU,per_image_delta_mIoU,ohem_Pd,candidate_Pd,per_image_delta_Pd,ohem_Precision,candidate_Precision,per_image_delta_precision,ohem_FA_ppm,candidate_FA_ppm,per_image_delta_FA,ohem_FP_components,candidate_FP_components,delta_FP_components,target_lost_count,target_gained_count,target_shrink_pixels,target_over_suppressed_pixels,removed_far_fp_pixels,new_fp_components,removed_fp_components,retained_fp_components,ohem_boundary_excess_pixels,candidate_boundary_excess_pixels,boundary_excess_delta,ohem_far_fp_pixels,candidate_far_fp_pixels,far_fp_delta,ohem_detached_near_fp_pixels,candidate_detached_near_fp_pixels,detached_near_fp_delta,target_prob_ohem,target_prob_candidate,target_prob_delta,far_bg_prob_ohem,far_bg_prob_candidate,far_bg_prob_delta
000092,1,1.0,0.14516129032258066,-0.8548387096774194,1.0,1.0,0.0,1.0,0.14516129032258066,-0.8548387096774194,0.0,808.7158203125,808.7158203125,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,53,53,0,0,0,0.9998469948768616,0.9998282194137573,-1.8775463104248047e-05,2.879140765799093e-07,0.0008146471809595823,0.0008143592858687043
000536,1,0.9629629629629629,0.35135135135135137,-0.6116116116116115,1.0,1.0,0.0,0.9629629629629629,0.35135135135135137,-0.6116116116116115,15.2587890625,732.421875,717.1630859375,0,2,2,0,0,0,1,0,2,0,1,1,1,0,0,47,47,0,0,0,0.9970753192901611,0.9962993860244751,-0.0007759332656860352,2.394113494119665e-07,0.0007183334673754871,0.00071809405926615
001102,1,0.9285714285714286,0.3305084745762712,-0.5980629539951574,1.0,1.0,0.0,0.9285714285714286,0.3305084745762712,-0.5980629539951574,45.7763671875,1205.4443359375,1159.66796875,0,2,2,0,0,0,1,0,2,0,1,3,3,0,0,76,76,0,0,0,0.9936436414718628,0.9713656902313232,-0.02227795124053955,4.944154170516413e-07,0.001266388688236475,0.001265894272364676
001322,1,0.967741935483871,0.45454545454545453,-0.5131964809384164,1.0,1.0,0.0,0.967741935483871,0.45454545454545453,-0.5131964809384164,15.2587890625,549.31640625,534.0576171875,0,7,7,0,0,0,1,0,7,1,0,1,0,-1,0,36,36,0,0,0,0.9955755472183228,0.9890884757041931,-0.006487071514129639,1.170979771814018e-06,0.0006532293045893312,0.0006520583410747349
001309,1,0.875,0.40625,-0.46875,1.0,1.0,0.0,1.0,0.4482758620689655,-0.5517241379310345,0.0,244.140625,244.140625,0,8,8,0,0,1,1,0,8,0,0,0,0,0,0,16,16,0,0,0,0.892714262008667,0.813071072101593,-0.07964318990707397,1.9736035028472543e-08,0.0004113601171411574,0.0004113403847441077
000765,1,0.7647058823529411,0.35,-0.41470588235294115,1.0,1.0,0.0,0.7647058823529411,0.5,-0.2647058823529411,61.03515625,106.8115234375,45.7763671875,0,0,0,0,0,6,7,0,0,0,1,4,7,3,0,0,0,0,0,0,0.9761629700660706,0.6009253859519958,-0.3752375841140747,4.421024613066038e-08,9.15164477532926e-08,4.7306201622632216e-08
000632,2,0.8235294117647058,0.4146341463414634,-0.40889526542324245,1.0,1.0,0.0,0.875,0.6071428571428571,-0.2678571428571429,61.03515625,167.8466796875,106.8115234375,0,0,0,0,0,11,12,0,0,0,2,4,11,7,0,0,0,0,0,0,0.9280955791473389,0.6507599353790283,-0.27733564376831055,1.3597063741599413e-07,2.315344289627319e-07,9.556379154673778e-08
000625,1,0.7777777777777778,0.38095238095238093,-0.39682539682539686,1.0,1.0,0.0,0.8235294117647058,0.5714285714285714,-0.25210084033613445,45.7763671875,91.552734375,45.7763671875,0,0,0,0,0,6,7,0,0,0,1,3,6,3,0,0,0,0,0,0,0.9355810880661011,0.5726855397224426,-0.36289554834365845,6.494151705283002e-08,5.541743508530317e-09,-5.9399773988388915e-08
000630,1,0.7894736842105263,0.42857142857142855,-0.3609022556390978,1.0,1.0,0.0,0.7894736842105263,0.6,-0.18947368421052635,61.03515625,91.552734375,30.517578125,0,0,0,0,0,6,6,0,0,0,1,4,6,2,0,0,0,0,0,0,0.9940665364265442,0.6376495957374573,-0.3564169406890869,4.267819235792558e-07,1.6958733795036096e-07,-2.5719458562889486e-07
000815,2,0.8095238095238095,0.4583333333333333,-0.3511904761904762,1.0,1.0,0.0,0.8292682926829268,0.6285714285714286,-0.20069686411149823,106.8115234375,198.3642578125,91.552734375,0,0,0,0,0,12,14,0,0,0,2,7,13,6,0,0,0,0,0,0,0.9531325101852417,0.6706686615943909,-0.28246384859085083,4.76387427283953e-08,5.02507191413315e-09,-4.261367081426215e-08
