image_name,threshold,IoU,nIoU,Pd,detected_targets,target_components,FA,FA_ppm,Precision,Recall,F1,FP_pixels,GT_pixels,FP_components,target_area,mean_prob_target,mean_prob_bg
XDU189,0.5,0.5675675675675675,0.5675675675675675,1.0,1,1,0.0,0.0,1.0,0.5675675675675675,0.7241379310344828,0,37,0,37,0.5641158819198608,1.091764829652675e-07
XDU935,0.5,0.4230769230769231,0.4230769230769231,1.0,2,2,6.4849853515625e-05,64.849853515625,0.5641025641025641,0.6285714285714286,0.5945945945945945,17,35,2,35,0.628803551197052,6.691582530038431e-05
XDU672,0.5,0.6304347826086957,0.6304347826086957,1.0,2,2,3.4332275390625e-05,34.332275390625,0.7631578947368421,0.7837837837837838,0.7733333333333334,9,37,1,37,0.7824260592460632,3.70623565686401e-05
XDU231,0.5,0.1592356687898089,0.1592356687898089,0.3333333333333333,1,3,7.62939453125e-06,7.62939453125,0.9615384615384616,0.16025641025641027,0.27472527472527475,2,312,1,312,0.15489494800567627,1.4862161151540931e-05
XDU818,0.5,0.0,0.0,0.0,0,1,0.00019073486328125,190.73486328125,0.0,0.0,0.0,50,20,3,20,5.355297616915777e-05,0.00019710900960490108
XDU888,0.5,0.6923076923076923,0.6923076923076923,1.0,1,1,0.0,0.0,1.0,0.6923076923076923,0.8181818181818181,0,13,0,13,0.7263869047164917,1.373333134324639e-06
XDU146,0.5,0.0928652321630804,0.0928652321630804,0.0,0,2,0.0,0.0,1.0,0.0928652321630804,0.16994818652849739,0,883,0,883,0.09314901381731033,5.043251576353214e-07
XDU48,0.5,0.5185185185185185,0.5185185185185185,1.0,1,1,1.1444091796875e-05,11.444091796875,0.8235294117647058,0.5833333333333334,0.6829268292682927,3,24,0,24,0.5914572477340698,1.1499188076413702e-05
XDU492,0.5,0.6875,0.6875,1.0,2,2,4.57763671875e-05,45.7763671875,0.88,0.7586206896551724,0.8148148148148148,12,116,0,116,0.7647969722747803,4.232104402035475e-05
XDU241,0.5,0.8,0.8,1.0,1,1,0.0,0.0,1.0,0.8,0.888888888888889,0,25,0,25,0.80893874168396,3.058850666093349e-07
XDU195,0.5,0.4,0.4,0.5,1,2,3.814697265625e-06,3.814697265625,0.967741935483871,0.40540540540540543,0.5714285714285714,1,74,0,74,0.4007558822631836,3.3997198443103116e-06
XDU801,0.5,0.6428571428571429,0.6428571428571429,1.0,1,1,1.52587890625e-05,15.2587890625,0.8181818181818182,0.75,0.7826086956521738,4,24,0,24,0.7565788626670837,1.5546518625342287e-05
XDU104,0.5,0.28,0.28,1.0,1,1,0.0001220703125,122.0703125,0.30434782608695654,0.7777777777777778,0.43750000000000006,32,18,2,18,0.7841635346412659,0.00012591357517521828
XDU637,0.5,0.3230769230769231,0.3230769230769231,0.6666666666666666,2,3,3.814697265625e-06,3.814697265625,0.9545454545454546,0.328125,0.48837209302325585,1,64,0,64,0.3173002004623413,4.274006641935557e-06
XDU996,0.5,0.43333333333333335,0.43333333333333335,1.0,1,1,2.288818359375e-05,22.88818359375,0.6842105263157895,0.5416666666666666,0.6046511627906976,6,24,2,24,0.5439363121986389,2.453166052873712e-05
XDU482,0.5,0.44,0.44,0.5,1,2,3.814697265625e-06,3.814697265625,0.9705882352941176,0.44594594594594594,0.6111111111111112,1,74,0,74,0.447247177362442,4.927427653456107e-06
XDU406,0.5,0.11392405063291139,0.11392405063291139,0.3333333333333333,1,3,0.000141143798828125,141.143798828125,0.421875,0.135,0.20454545454545456,37,200,1,200,0.14495877921581268,0.0001424590009264648
XDU889,0.5,0.4489795918367347,0.4489795918367347,1.0,2,2,8.392333984375e-05,83.92333984375,0.5,0.8148148148148148,0.6197183098591549,22,27,3,27,0.8035804033279419,8.906464790925384e-05
XDU558,0.5,0.3170731707317073,0.3170731707317073,0.5,1,2,2.288818359375e-05,22.88818359375,0.8125,0.34210526315789475,0.4814814814814815,6,76,0,76,0.3374978005886078,2.1437645045807585e-05
XDU117,0.5,0.28125,0.28125,1.0,1,1,0.0,0.0,1.0,0.28125,0.43902439024390244,0,64,0,64,0.27717965841293335,7.620936059993255e-08
XDU777,0.5,0.0,0.0,0.0,0,1,7.2479248046875e-05,72.479248046875,0.0,0.0,0.0,19,24,1,24,0.00020320597104728222,8.470307511743158e-05
