image_name,threshold,component_id,category,matched_target_component,unmatched_fp_component,component_area,fp_pixel_mass,mean_probability,max_probability,confidence_mass,minimum_distance_to_gt,component_center_y,component_center_x,bbox_y0,bbox_y1,bbox_x0,bbox_x1
Misc_70,0.5,1,boundary_excess,1,0,27,1,0.9512810111045837,0.9512810111045837,0.9512810111045837,0.0,108.11111111111111,162.92592592592592,106,112,161,167
Misc_214,0.5,1,boundary_excess,1,0,118,9,0.9636154174804688,0.9996954202651978,8.672538757324219,0.0,75.57627118644068,146.5677966101695,71,83,138,157
Misc_96,0.5,1,boundary_excess,1,0,105,5,0.6878911852836609,0.8436013460159302,3.439455986022949,0.0,117.08571428571429,153.46666666666667,113,124,146,162
Misc_158,0.5,1,far_fp,0,1,7,7,0.5784117579460144,0.6272785067558289,4.048882484436035,101.35580891098448,11.0,306.0,8,15,306,307
Misc_396,0.5,1,boundary_excess,1,0,37,3,0.7661380767822266,0.9749106764793396,2.2984142303466797,0.0,209.48648648648648,25.35135135135135,206,214,22,30
Misc_396,0.5,2,detached_near_fp,0,1,2,2,0.6038801670074463,0.6325376033782959,1.2077603340148926,2.0,215.0,26.5,215,216,26,28
Misc_6,0.5,1,boundary_excess,1,0,28,1,0.9912583231925964,0.9912583231925964,0.9912583231925964,0.0,125.85714285714286,110.64285714285714,123,129,107,115
Misc_276,0.5,1,detached_near_fp,0,1,3,3,0.5478166341781616,0.5876829624176025,1.6434499025344849,1.0,154.0,212.0,154,155,211,214
Misc_276,0.5,2,far_fp,0,1,393,393,0.8693026304244995,0.9984263181686401,341.63592529296875,85.0,239.8854961832061,176.11704834605598,239,241,3,351
Misc_138,0.5,1,boundary_excess,1,0,35,1,0.9916207790374756,0.9916207790374756,0.9916207790374756,0.0,98.45714285714286,165.11428571428573,97,101,158,171
Misc_386,0.5,1,boundary_excess,1,0,52,1,0.5212528705596924,0.5212528705596924,0.5212528705596924,0.0,215.1346153846154,269.21153846153845,211,220,265,273
Misc_58,0.5,1,boundary_excess,1,0,29,2,0.9170677661895752,0.9992850422859192,1.8341355323791504,0.0,14.517241379310345,54.62068965517241,13,17,46,63
Misc_171,0.5,1,far_fp,0,1,2,2,0.7409909963607788,0.7637847065925598,1.4819819927215576,131.7459676802292,84.5,148.0,84,86,148,149
Misc_154,0.5,1,boundary_excess,1,0,14,1,0.8354774713516235,0.8354774713516235,0.8354774713516235,0.0,69.14285714285714,134.28571428571428,68,72,132,137
Misc_238,0.5,1,boundary_excess,1,0,22,11,0.8578475713729858,0.9985079169273376,9.436323165893555,0.0,35.90909090909091,192.5,33,40,191,195
Misc_23,0.5,1,detached_near_fp,0,1,2,2,0.8380317687988281,0.9163859486579895,1.6760635375976562,4.0,73.0,106.5,73,74,106,108
Misc_23,0.5,2,boundary_excess,1,0,7,1,0.9781965017318726,0.9781965017318726,0.9781965017318726,0.0,78.0,106.71428571428571,77,80,106,109
Misc_110,0.5,1,boundary_excess,1,0,65,1,0.8816367387771606,0.8816367387771606,0.8816367387771606,0.0,8.923076923076923,163.03076923076924,6,13,157,169
Misc_110,0.5,2,far_fp,0,1,32,32,0.9624650478363037,0.9993459582328796,30.79888153076172,103.24727599312246,112.875,123.15625,108,118,121,127
Misc_413,0.5,1,boundary_excess,1,0,5,2,0.6637257933616638,0.791059672832489,1.3274515867233276,0.0,192.2,248.4,191,194,248,250
Misc_413,0.5,2,far_fp,0,1,10,10,0.6266396045684814,0.7350621819496155,6.2663960456848145,233.4823333787805,208.0,9.5,208,209,5,15
Misc_413,0.5,3,far_fp,0,1,11,11,0.6509867310523987,0.7607242465019226,7.160854339599609,129.86916493148019,208.0,113.0,208,209,108,119
