image_name,threshold,IoU,nIoU,Pd,detected_targets,target_components,FA,FA_ppm,Precision,Recall,F1,FP_pixels,GT_pixels,FP_components,target_area,mean_prob_target,mean_prob_bg
Misc_70,0.5,0.8125,0.8125,1.0,1,1,1.1787170843254202e-05,11.787170843254202,0.9629629629629629,0.8387096774193549,0.896551724137931,1,31,0,31,0.8434385657310486,3.034037581528537e-05
Misc_214,0.5,0.8790322580645161,0.8790322580645161,1.0,1,1,0.00015463917525773195,154.63917525773195,0.923728813559322,0.9478260869565217,0.9356223175965666,9,115,0,115,0.9458454251289368,0.0001676461542956531
Misc_96,0.5,0.8928571428571429,0.8928571428571429,1.0,1,1,7.991688643810437e-05,79.91688643810437,0.9523809523809523,0.9345794392523364,0.9433962264150944,5,107,0,107,0.9138408899307251,8.910204633139074e-05
Misc_311,0.5,0.6666666666666666,0.6666666666666666,1.0,1,1,0.0,0.0,1.0,0.6666666666666666,0.8,0,18,0,18,0.7062876224517822,1.323087985838356e-06
Misc_158,0.5,0.6190476190476191,0.6190476190476191,1.0,1,1,0.00011814146596681913,118.14146596681913,0.65,0.9285714285714286,0.7647058823529412,7,14,1,14,0.9190966486930847,0.0002161229494959116
Misc_127,0.5,0.7619047619047619,0.7619047619047619,1.0,1,1,0.0,0.0,1.0,0.7619047619047619,0.8648648648648648,0,21,0,21,0.7812656164169312,1.3648585195369378e-07
Misc_323,0.5,0.4666666666666667,0.4666666666666667,1.0,1,1,0.0,0.0,1.0,0.4666666666666667,0.6363636363636364,0,15,0,15,0.4647143483161926,1.226664068099126e-07
Misc_54,0.5,0.868421052631579,0.868421052631579,1.0,1,1,0.0,0.0,1.0,0.868421052631579,0.9295774647887324,0,38,0,38,0.8602288961410522,7.603346716678061e-07
Misc_396,0.5,0.68,0.68,1.0,1,1,5.2401563662659694e-05,52.4015636626597,0.8717948717948718,0.7555555555555555,0.8095238095238095,5,45,1,45,0.7774114012718201,4.1334573325002566e-05
Misc_6,0.5,0.84375,0.84375,1.0,1,1,1.4903795996840395e-05,14.903795996840394,0.9642857142857143,0.8709677419354839,0.9152542372881356,1,31,0,31,0.853874683380127,1.775307464413345e-05
Misc_276,0.5,0.0,0.0,0.0,0,3,0.00466804979253112,4668.04979253112,0.0,0.0,0.0,396,95,2,95,0.09336324036121368,0.005107216536998749
Misc_172,0.5,0.6363636363636364,0.6363636363636364,1.0,2,2,0.0,0.0,1.0,0.6363636363636364,0.7777777777777778,0,33,0,33,0.6462715864181519,5.0221383389725816e-06
Misc_153,0.5,0.6097560975609756,0.6097560975609756,1.0,1,1,0.0,0.0,1.0,0.6097560975609756,0.7575757575757575,0,41,0,41,0.5734684467315674,9.099589419747645e-07
Misc_138,0.5,0.85,0.85,1.0,1,1,1.953125e-05,19.53125,0.9714285714285714,0.8717948717948718,0.9189189189189189,1,39,0,39,0.8543264865875244,1.951425292645581e-05
Misc_295,0.5,0.46875,0.46875,1.0,1,1,0.0,0.0,1.0,0.46875,0.6382978723404256,0,32,0,32,0.4659603238105774,1.345381122064282e-07
Misc_139,0.5,1.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1.0,0,15,0,15,0.994665265083313,1.0292040286685733e-07
Misc_179,0.5,0.5555555555555556,0.5555555555555556,1.0,1,1,0.0,0.0,1.0,0.5555555555555556,0.7142857142857143,0,18,0,18,0.5547404289245605,4.9732591378415236e-08
Misc_79,0.5,0.9444444444444444,0.9444444444444444,1.0,1,1,0.0,0.0,1.0,0.9444444444444444,0.9714285714285714,0,18,0,18,0.9229369759559631,8.283316788038064e-07
Misc_386,0.5,0.864406779661017,0.864406779661017,1.0,1,1,1.1148272017837235e-05,11.148272017837234,0.9807692307692307,0.8793103448275862,0.9272727272727272,1,58,0,58,0.8687009215354919,1.3281903193274047e-05
Misc_58,0.5,0.5294117647058824,0.5294117647058824,1.0,1,1,2.405002405002405e-05,24.05002405002405,0.9310344827586207,0.5510204081632653,0.6923076923076924,2,49,0,49,0.542161762714386,2.325000059499871e-05
Misc_171,0.5,0.5238095238095238,0.5238095238095238,1.0,1,1,2.9998950036748713e-05,29.998950036748713,0.8461538461538461,0.5789473684210527,0.6875,2,19,1,19,0.5620850324630737,2.6428417186252773e-05
Misc_303,0.5,0.6206896551724138,0.6206896551724138,1.0,2,2,0.0,0.0,1.0,0.6206896551724138,0.7659574468085107,0,87,0,87,0.6149598360061646,1.2129380593250971e-05
Misc_316,0.5,0.45454545454545453,0.45454545454545453,0.5,1,2,0.0,0.0,1.0,0.45454545454545453,0.625,0,55,0,55,0.4558328688144684,2.5423830720683327e-06
Misc_343,0.5,0.7272727272727273,0.7272727272727273,1.0,1,1,0.0,0.0,1.0,0.7272727272727273,0.8421052631578948,0,11,0,11,0.7083933353424072,1.3263975517929794e-07
Misc_264,0.5,0.9333333333333333,0.9333333333333333,1.0,1,1,0.0,0.0,1.0,0.9333333333333333,0.9655172413793104,0,15,0,15,0.9317178726196289,1.218314480411209e-07
Misc_274,0.5,0.5714285714285714,0.5714285714285714,1.0,1,1,0.0,0.0,1.0,0.5714285714285714,0.7272727272727273,0,14,0,14,0.6245547533035278,2.9443361881931196e-07
Misc_154,0.5,0.7647058823529411,0.7647058823529411,1.0,1,1,2.0126393752767377e-05,20.126393752767378,0.9285714285714286,0.8125,0.8666666666666666,1,16,0,16,0.7971316576004028,2.2729685952072032e-05
Misc_174,0.5,0.7,0.7,1.0,1,1,0.0,0.0,1.0,0.7,0.8235294117647058,0,10,0,10,0.7388649582862854,2.8541745678012376e-07
