image_name,teacher_student_absdiff_all_pixels,teacher_student_absdiff_target,teacher_student_absdiff_target_boundary,teacher_student_absdiff_far_background,teacher_student_absdiff_ohem_negatives,teacher_student_absdiff_topk_far_evidence,teacher_student_absdiff_detached_fp_components,teacher_rank_disagreement_topk_far,teacher_lower_than_student_on_high_far_rate,teacher_preserves_target_rate,per_checkpoint_variance_topk_far,per_checkpoint_variance_target,topk_far_pixels,ohem_negative_pixels,detached_fp_pixels,target_pixels,informative_topk_far
000002,1.2005930092728628e-07,0.0004987716674804688,1.2175913065236518e-05,3.3096970504889095e-08,2.3576589374239187e-06,2.3576589374239187e-06,nan,0.5826086956521739,0.9631901840490797,1.0,3.0504194194851107e-11,2.9291605721700384e-06,326,326,0,9,0
000004,1.2108007494734084e-07,0.0004723535643683539,1.4730219048519623e-05,3.384228576449211e-08,2.5541918347994537e-06,2.5541918347994537e-06,nan,0.5764192139737991,0.9263803680981595,1.0,1.3515206165058358e-11,5.733730738594684e-07,326,326,0,9,0
000005,6.627965231041787e-08,0.0002453260951571994,1.2391844874197922e-06,3.0819085235948145e-08,4.236859474335939e-06,4.236859474335939e-06,nan,0.2931937172774869,0.745398773006135,1.0,3.2037380402755587e-10,5.8646049892906326e-08,326,326,0,9,0
000006,1.9572174334545383e-06,0.00013077921337551542,0.0012218215583533383,7.518556784365098e-08,9.934883360353295e-06,9.934883360353295e-06,nan,0.16338028169014085,0.4447852760736196,1.0,1.3295735696718421e-09,1.2644348383143248e-08,326,326,0,9,0
000007,1.5006900995573753e-07,0.0007160703341166178,1.5644831186376659e-06,4.950812486977864e-08,4.7409804563391675e-06,4.7409804563391675e-06,nan,0.27055702917771884,0.27607361963190186,1.0,1.1221145877833885e-10,1.590189790018965e-06,326,326,0,9,0
000008,2.3621459260130373e-05,0.04831178158497938,0.0008016529282252021,4.819881636438148e-08,5.240167595535584e-06,5.240167595535584e-06,nan,0.3645569620253165,0.6130030959752322,1.0,1.9471212474217884e-10,0.010761027295126195,323,323,0,27,0
000013,5.463877434429079e-07,0.0007544539089394675,6.769145586410199e-05,1.2808704059608704e-07,1.3279997598986554e-05,1.3279997598986554e-05,nan,0.4449760765550239,0.72,1.0,4.3686641146103133e-10,2.267373280637881e-06,325,325,0,18,0
000014,1.486899128129363e-07,0.0010285509957207574,1.7344329500196433e-06,4.770988421275417e-09,5.055415703345869e-07,5.055415703345869e-07,nan,0.40975609756097564,0.5306748466257669,1.0,3.089132493887936e-12,1.5660016622910512e-05,326,326,0,9,0
000017,5.715098801937845e-07,0.003003504541185167,9.793990848897353e-05,9.443881871710844e-09,1.358965437457356e-06,1.358965437457356e-06,nan,0.4476190476190476,0.5306748466257669,1.0,9.672241562953097e-11,2.156437864216561e-05,326,326,0,9,0
000018,1.9485877080813297e-06,0.011537452538808187,0.00022976918788631767,1.361159691613334e-08,7.890979181109237e-07,7.890979181109237e-07,nan,0.7215686274509804,0.46319018404907975,0.8888888888888888,9.157869644401314e-12,0.000803743705730516,326,326,0,9,0
